"APOGEE_ID","cluster"
"2M00241883-7159192",2
"2M18315518-2328466",1
"2M16471769-0159098",5
"2M13262962-4723413",6
"2M13272801-4717215",3
"2M16570778-0406059",6
"2M01024330-7048480",6
"2M19533964+1841466",2
"2M09114135-6454452",6
"2M13262643-4736438",3
"2M13262245-4723549",8
"2M13262941-4722094",4
"2M13271019-4736068",8
"2M16235228-2630252",1
"2M00244811-7158207",2
"2M13274582-4722594",4
"2M13260948-4748072",3
"2M19105638-5948053",4
"2M13264192-4740471",8
"2M13412055+2811492",7
"2M19533778+1850014",2
"2M13265528-4731438",3
"2M13263012-4726103",5
"2M13274995-4721237",3
"2M13272703-4709421",3
"2M13262204-4728282",8
"2M19400407-3058206",4
"2M09130699-6500077",6
"2M13273904-4720093",8
"2M13270111-4737535",3
"2M10162114-4613529",6
"2M00221530-7207096",2
"2M13413405+2817366",6
"2M13421435+2821228",6
"2M13271638-4723579",8
"2M00250570-7201545",2
"2M13261177-4731166",3
"2M16474219-0153063",3
"2M18353841-2348125",4
"2M13260294-4733290",1
"2M17022878-2614320",7
"2M18371745-2339203",4
"2M13270440-4720415",3
"2M18355624-2354091",3
"2M06485948-3559426",8
"2M13261643-4728305",3
"2M09120979-6448331",6
"2M16570359-0404388",5
"2M13272101-4734496",4
"2M13260217-4728484",5
"2M00233869-7201501",2
"2M18545435-3033430",6
"2M09113946-6453012",7
"2M18363817-2359061",5
"2M00522151-2632418",5
"2M13251340-4721113",4
"2M15183484+0206165",6
"2M17403885-5339252",5
"2M13265674-4720527",7
"2M13254924-4740258",5
"2M16415024+3629431",5
"2M17024032-2617400",6
"2M18362119-2359569",4
"2M18361650-2355134",4
"2M15175895+0206239",7
"2M13423316+2818484",7
"2M00525849-2630555",1
"2M18361059-2356357",3
"2M10180716-4632203",7
"2M15182262+0200305",7
"2M16413327+3632285",4
"2M13264237-4727404",4
"2M17163393-2811052",2
"2M13263297-4713031",3
"2M19104899-5958032",4
"2M16324155-1302038",1
"2M00230716-7203053",2
"2M13424924+2823523",7
"2M16231885-2634273",1
"2M17164048-2808443",2
"2M18354542-2352285",8
"2M18361712-2357330",4
"2M13261317-4723286",4
"2M13253844-4724017",8
"2M13260647-4732095",4
"2M05241172-2430038",7
"2M05142874-4003159",6
"2M00230630-7211106",2
"2M13255089-4702527",7
"2M17023708-2618038",6
"2M13260351-4726312",4
"2M18362013-2356459",7
"2M16240571-2633009",1
"2M19400406-3059593",4
"2M19395693-3100367",5
"2M13261217-4725305",7
"2M18590940-3640192",5
"2M13421593+2820363",7
"2M18013688-2650498",6
"2M13272418-4734209",1
"2M13263730-4725222",8
"2M17355032-4446193",6
"2M13255166-4732085",4
"2M16231459-2630469",1
"2M13273697-4712222",3
"2M13261946-4722533",4
"2M10160748-4615161",7
"2M19113195-5950239",8
"2M13260075-4732026",8
"2M15184187+0205537",6
"2M18361833-2351477",4
"2M13263895-4712163",8
"2M18360883-2357546",4
"2M01041799-7047304",6
"2M13261441-4730593",3
"2M00225813-7159328",2
"2M21331948-0051034",6
"2M13252118-4744039",3
"2M00252724-7215067",2
"2M13280236-4714453",5
"2M13262921-4731092",1
"2M01025013-7051463",7
"2M13272653-4730324",8
"2M18550396-3028373",6
"2M13271771-4726442",8
"2M18355407-2345317",5
"2M13244450-4735071",4
"2M05135029-4002069",6
"2M19395598-3059160",4
"2M06490301-3559100",7
"2M15183086+0212167",7
"2M19102983-5955255",4
"2M15190237+0204586",1
"2M15182014+0203321",7
"2M00524112-2633271",7
"2M19103906-5957504",8
"2M18355461-2346412",4
"2M00232178-7155569",2
"2M00230515-7204280",2
"2M18360218-2356506",7
"2M09125933-6501589",6
"2M18355002-2357417",7
"2M18371722-2344083",3
"2M13260938-4727512",4
"2M13250968-4727185",5
"2M00213487-7208257",2
"2M13272455-4725469",8
"2M16472651-0156319",1
"2M13260188-4726592",5
"2M16471184-0159574",5
"2M16241586-2635066",1
"2M13265064-4738211",3
"2M13262948-4736424",3
"2M13262690-4735556",8
"2M18550290-3024498",6
"2M13271217-4724408",7
"2M13422468+2823284",8
"2M00254702-7159035",2
"2M13274233-4722388",5
"2M13420673+2820567",6
"2M13262601-4730135",6
"2M13262946-4716517",3
"2M09123679-6451449",8
"2M13270949-4722243",8
"2M13265020-4721474",8
"2M13261354-4727346",5
"2M13420761+2821254",6
"2M13255300-4736177",5
"2M13250896-4729490",3
"2M13263890-4734123",3
"2M13273368-4723294",3
"2M13250787-4732253",8
"2M13273365-4736121",4
"2M16471892-0155508",2
"2M13253033-4723345",3
"2M10174576-4628242",6
"2M19115233-5958527",3
"2M16233741-2638238",1
"2M05241154-2431382",5
"2M13252665-4736205",5
"2M18362479-2354578",4
"2M13261594-4736517",3
"2M13274208-4739327",5
"2M13251378-4731312",7
"2M17405503-5334587",5
"2M19100057-5955129",4
"2M15184209+0204094",6
"2M13254946-4740014",4
"2M09132085-6447447",7
"2M17101271-2635054",4
"2M15182324+0159163",6
"2M17170351+4306147",8
"2M13261900-4731156",8
"2M17410170-5341358",5
"2M13260145-4723322",8
"2M19101494-5959134",4
"2M06485619-3602261",5
"2M13261171-4728283",7
"2M00251150-7202016",2
"2M10164531-4622396",6
"2M13270732-4721036",3
"2M21295931+1209116",5
"2M05240623-2433312",6
"2M00252327-7202375",2
"2M01031025-7050157",6
"2M13261043-4712414",5
"2M09121513-6449487",6
"2M13263279-4723019",5
"2M16321971-1301196",1
"2M18551137-3032350",7
"2M18545878-3025352",6
"2M18550374-2243303",1
"2M15181110+0203360",7
"2M13265157-4723559",4
"2M13271857-4721323",5
"2M13264780-4732084",7
"2M13264860-4715191",3
"2M13412683+2823443",6
"2M13270947-4728100",4
"2M13251218-4736090",3
"2M15181926+0202295",6
"2M19112754-6009239",4
"2M17363110-4442350",6
"2M13250671-4726526",8
"2M13261091-4732460",3
"2M13274154-4715386",5
"2M13261596-4723495",3
"2M16413053+3629434",6
"2M17023424-2615437",3
"2M16225536-2618213",1
"2M13253677-4742452",3
"2M18363754-2351513",4
"2M00525293-2637582",1
"2M13261891-4728502",8
"2M19392958-3050089",8
"2M13242041-4719352",1
"2M13261081-4747552",3
"2M16233657-2630200",1
"2M13260787-4729185",5
"2M17361279-4441506",6
"2M10180369-4632086",7
"2M21332068-0050432",6
"2M13130442+1808556",5
"2M18101117-3144580",1
"2M13260733-4731328",8
"2M13274358-4718105",8
"2M13274509-4737457",3
"2M17401170-5339263",4
"2M16225688-2609233",1
"2M16413707+3630378",7
"2M13264126-4731593",4
"2M16570277-0410209",7
"2M00231072-7156009",2
"2M19534905+1846003",2
"2M00530082-2636440",5
"2M13261904-4735019",3
"2M16233658-2632294",1
"2M16233579-2630422",1
"2M13270057-4728335",1
"2M12392421-2645169",5
"2M17403892-5345252",4
"2M00265998-7210312",2
"2M16235570-2639006",1
"2M09112249-6455232",7
"2M09121403-6448427",7
"2M13260235-4738146",3
"2M13264441-4724439",5
"2M13254363-4727048",5
"2M13261002-4736326",5
"2M13273668-4721153",7
"2M13262712-4717014",4
"2M13261835-4725381",8
"2M13272404-4752029",5
"2M13263584-4725412",8
"2M13271074-4731581",4
"2M15180407+0205557",6
"2M13253337-4730395",3
"2M18362303-2349195",3
"2M16232008-2632415",1
"2M13263603-4726542",5
"2M13262415-4723174",8
"2M13271883-4728191",8
"2M00240336-7155473",2
"2M00240720-7201285",2
"2M13130531+1814508",5
"2M19094091-6003364",7
"2M13261915-4725580",3
"2M13245823-4735186",3
"2M00230915-7202417",2
"2M01023473-7053228",7
"2M18013753-2649529",6
"2M13261778-4716548",3
"2M13260891-4732263",3
"2M13130467+1810594",7
"2M13271147-4719104",4
"2M13254932-4728078",8
"2M09104086-6453277",6
"2M16470900-0150375",1
"2M13263354-4724558",3
"2M05135671-4001016",6
"2M10172226-4614506",7
"2M16231545-2638471",1
"2M13275655-4722387",3
"2M10174761-4627479",6
"2M16465095+4731163",7
"2M13260198-4717420",3
"2M13423482+2826148",5
"2M16231483-2635261",1
"2M00230792-7200571",2
"2M13254114-4738213",5
"2M19394319-3056519",4
"2M13252766-4734077",8
"2M16233996-2628490",1
"2M18364594-2342386",3
"2M18071474-2454595",5
"2M15181803+0203503",5
"2M16464680-0158500",1
"2M13413631+2821243",6
"2M13263341-4722442",8
"2M13262149-4723371",8
"2M09122317-6451325",6
"2M16470445-0157487",5
"2M13260403-4707293",7
"2M13260566-4733483",4
"2M13261070-4731201",5
"2M01031428-7051581",6
"2M00525279-2634388",5
"2M13262319-4736334",4
"2M09110738-6439475",6
"2M18361137-2355323",4
"2M13260932-4718271",8
"2M00261840-7206369",2
"2M15182435+0201574",6
"2M00251382-7159103",2
"2M13262174-4726159",8
"2M13271570-4726022",3
"2M13262848-4745508",3
"2M13420737+2819485",5
"2M13273003-4740459",4
"2M13261774-4738549",7
"2M01021469-7052474",6
"2M01022062-7049129",6
"2M13264792-4721066",3
"2M16240858-2624552",1
"2M13262811-4719238",8
"2M09113333-6454092",6
"2M00264045-7201170",2
"2M19392427-3058458",4
"2M01032173-7048403",6
"2M00204027-7201425",2
"2M13261720-4702559",3
"2M13262094-4728292",8
"2M13272004-4732062",7
"2M13255061-4723220",5
"2M17163627-2807166",2
"2M00224014-7211467",2
"2M00262057-7146225",2
"2M18070657-2500417",4
"2M13260022-4732221",5
"2M18072114-2458359",4
"2M13260673-4724456",3
"2M13265258-4726427",4
"2M13270419-4723356",8
"2M13243074-4724264",7
"2M18544430-3024288",6
"2M16565499-0405464",4
"2M16234321-2631539",1
"2M16231753-2637416",1
"2M13262625-4736166",8
"2M18364528-2356103",8
"2M13261523-4730245",8
"2M13415318+2819255",6
"2M19393864-3048329",5
"2M13263121-4714258",8
"2M09115719-6449144",6
"2M13415152+2823224",6
"2M17170588+4310171",4
"2M17480857-2446033",2
"2M13251733-4741357",5
"2M18550213-3033093",6
"2M13273402-4721136",3
"2M18362110-2355036",3
"2M00231818-7207466",2
"2M13262660-4721426",5
"2M00523688-2630586",1
"2M18014786-2749080",1
"2M00525460-2637084",5
"2M10180676-4614205",7
"2M13281672-4716461",5
"2M19104380-5959416",5
"2M17023530-2615184",6
"2M01031095-7051544",7
"2M13263213-4721438",5
"2M13260823-4734468",8
"2M13264453-4736325",7
"2M13261693-4749588",7
"2M18361561-2355015",6
"2M16470907-0156355",5
"2M13261288-4726029",4
"2M13262208-4721346",3
"2M16223348-2631308",1
"2M05141453-4002134",7
"2M16571705-0413268",6
"2M18360036-2356081",5
"2M13272577-4728065",3
"2M00224100-7201462",2
"2M21300554+1211049",5
"2M13255837-4708566",5
"2M00232094-7205183",2
"2M17165994+4309307",3
"2M13261305-4727535",5
"2M19101237-6000379",4
"2M17165652+4308156",3
"2M13282712-4721289",4
"2M16470397-0201322",1
"2M16472413-0152522",7
"2M15190407+0205255",6
"2M13254896-4728481",4
"2M13270802-4724376",3
"2M01025315-7050308",7
"2M17171307+4309483",4
"2M16412975+3631563",4
"2M13260003-4730196",8
"2M13273470-4721002",1
"2M19392981-3101401",5
"2M13254272-4737331",3
"2M16472740-0200247",5
"2M13261437-4734574",5
"2M16322415-1301106",1
"2M13263280-4715344",3
"2M19393281-3101360",4
"2M18363572-2350595",8
"2M00220136-7213182",2
"2M13263715-4719005",5
"2M13272816-4730148",4
"2M17405934-5343200",4
"2M13273278-4731463",3
"2M17023286-2616475",7
"2M13270079-4737233",3
"2M18315542-2329078",1
"2M13420954+2819531",7
"2M00232926-7204483",2
"2M15182984+0205377",4
"2M13255995-4726308",3
"2M18362352-2352163",4
"2M18363657-2347301",6
"2M13264041-4719065",3
"2M16232330-2634231",1
"2M00230975-7211184",2
"2M13262811-4733493",8
"2M17404013-5330589",5
"2M09115667-6447004",6
"2M13421266+2820420",6
"2M13280345-4717596",8
"2M10183284-4640081",7
"2M13254864-4728353",7
"2M17391019-5333463",5
"2M18362688-2353026",4
"2M00250809-7204092",2
"2M13273138-4727165",3
"2M18362891-2351018",4
"2M13270662-4746418",3
"2M13272683-4725421",8
"2M13261679-4726299",8
"2M13253784-4720033",4
"2M17342588-3901406",2
"2M13243923-4726238",3
"2M13250783-4727218",3
"2M16571077-0406423",5
"2M19113577-5955024",4
"2M13261630-4733026",8
"2M19400434-3103459",4
"2M13270804-4718113",8
"2M13264352-4723199",7
"2M19392133-3110241",4
"2M15183223+0201341",7
"2M13275384-4722118",3
"2M17163330-2808396",2
"2M13245551-4735256",4
"2M00524519-2634582",1
"2M17403911-5342543",4
"2M13265070-4721066",1
"2M18355905-2357329",5
"2M13270256-4738185",4
"2M13273087-4740115",4
"2M13262032-4730381",6
"2M16324438-1302217",2
"2M13252320-4742195",3
"2M13262366-4742424",8
"2M16571789-0404211",5
"2M00251663-7202101",2
"2M10175204-4614066",7
"2M13260788-4726379",3
"2M15185515+0214337",7
"2M09120949-6452174",6
"2M17355519-4448067",6
"2M18353380-2359353",4
"2M13263276-4717521",8
"2M13254401-4725379",8
"2M13261585-4731054",8
"2M13271573-4723192",5
"2M15191396+0207141",4
"2M13261121-4714297",8
"2M16232988-2631490",1
"2M10160017-4611131",7
"2M13265800-4730387",4
"2M13422632+2805193",5
"2M15182768+0202411",6
"2M18363788-2404372",5
"2M16230520-2627322",1
"2M13261942-4723346",1
"2M13414361+2822204",6
"2M05140673-4001298",7
"2M13273607-4724022",8
"2M18545470-3027044",6
"2M16471104-0158363",1
"2M13273110-4758561",5
"2M15184497+0202168",7
"2M13261288-4736165",4
"2M13273365-4722442",3
"2M00235701-7202185",2
"2M13261581-4724563",3
"2M18370901-2401378",4
"2M13273132-4724150",1
"2M16415681+3641510",4
"2M16322581-1302580",1
"2M13261070-4732058",3
"2M13270334-4746305",4
"2M13272956-4726508",3
"2M05134935-4003158",6
"2M17343139-3904352",2
"2M13263925-4735179",4
"2M18355049-2357455",3
"2M18363632-2354021",7
"2M21295264+1210440",3
"2M00245386-7200551",2
"2M09122011-6449218",7
"2M18363607-2350162",8
"2M13265662-4730402",4
"2M01023407-7051572",6
"2M05240999-2432244",6
"2M17410346-5339398",4
"2M16412837+3627038",6
"2M18361229-2354538",3
"2M17402973-5338078",8
"2M13254559-4728506",4
"2M13265305-4718320",3
"2M13255649-4722512",5
"2M19400321-3101119",3
"2M13254966-4737362",3
"2M13263868-4725462",6
"2M13275724-4729083",3
"2M00222646-7156388",2
"2M09113161-6449022",7
"2M13265186-4722495",3
"2M00233200-7204261",2
"2M13273743-4723371",8
"2M00253465-7213084",2
"2M18360668-2350390",4
"2M13255433-4725137",4
"2M09121389-6453374",6
