APOGEE_ID,C_FE,CI_FE,N_FE,O_FE,NA_FE,MG_FE,AL_FE,SI_FE,S_FE,K_FE,CA_FE,TI_FE,TIII_FE,V_FE,CR_FE,MN_FE,FE_H,CO_FE,NI_FE,split
2M13272321-4720027,0.7399771917074572,0.5279842017020656,-0.30135884832990284,-0.15842052385669797,0.0014096501291852813,-0.06718651131118818,-0.21247302205322127,-0.34555839777138336,0.8264358418848258,1.735763470404329,-1.536295690154772,0.6933825885024677,1.9246510021790313,-0.0011541804599002731,1.5660158754299285,0.01410301871306225,-0.6703114531416573,-0.026891630445428007,0.3082086351766442,Train
2M13260174-4740335,-1.4751895263249448,-0.6859477240278166,-0.5565776441455392,0.15889495834463993,0.3256344817935362,-0.04487178264441149,-1.275101006554277,-0.0002910708464238913,0.14283721976848984,0.4532960151454667,-0.043600113703618756,-0.7719991583083956,-0.17977248506635832,0.5643149050044314,-1.5640586931002538,-0.22964468521127887,-0.9745004470778381,-1.1206807403426875,0.07850650235186725,Train
2M13260888-4721156,0.3580631509076449,0.4085683313742287,0.8072026475766351,-0.4131918546165765,0.0014096501291852813,-0.83321830676458,1.2618433920608205,0.9340141582886069,0.013765722269427362,0.7103075372853679,0.4646441701200676,-0.45806937681904,0.19402661979013583,0.24233882995064013,-0.576452546044369,0.01410301871306225,-0.7501450203265949,-0.0063306371436563525,0.5306185300230377,Train
2M10180676-4614205,-0.45481091551218694,-0.16042486120094102,-1.2908824844415645,0.11091603258086334,-0.06373556083934609,-0.250453850889718,-1.3013531889661911,-0.8493644306450084,-0.12547090784079903,-0.23194398821170228,-0.003116108190448732,0.14472305303987856,0.8148235350926953,-0.20538119669991142,0.33397966541983876,0.9271043225741196,0.238405035072741,-0.28833258804921397,0.12225892755448828,Train
2M13421985+2824515,-1.3312034796531225,-0.2571497485512979,-0.8435015116272547,0.08960275467839719,1.8500310727397817,-0.4486988235019816,-0.997913995501946,-0.7708196486084251,0.06652996484473372,-1.0170298576036463,-0.90726011137023,0.009316709401832293,1.482949548753948,1.0117765451056473,-0.43116796764591186,-0.5755491859027175,0.011482612592083512,-1.694164170360649,-0.5632008050210062,Train
2M13265515-4722403,-0.07921021805490383,-0.3078596524621211,1.2187229623978737,-0.983246602469865,-1.604991642056476,-1.1584346947802224,2.2900712531566674,1.6239900786484296,0.5144728855546371,-4.586713066367147,1.2492073077401342,-0.09198798024551592,0.16116886548877846,-1.1968718227608492,0.06153652294102375,0.14474725461034352,0.1346984076042049,-1.1825272413351686,0.43126200177383484,Train
2M00250693-7203064,0.2599332970590336,-0.1122783282340069,0.78035662390779,-0.23287094183569765,0.4182633437260711,0.6469993861183063,0.5101518864368856,-0.39469095867469595,-0.461857712977763,0.1479520342086007,-0.09130762460569546,1.0305979823027152,0.5735472266635318,-1.9745462934076354,-0.1332381502471461,0.29282591160001925,1.8863906234025785,0.5483962962768384,0.7604108209027484,Train
2M13260009-4725379,-1.5300547394129242,-1.610608887030688,0.8920595891900532,-0.19282324988432875,-0.4320584894074787,0.1948743401106614,0.391094000749264,0.07457877117606444,0.46998241517171035,-0.4745331312426279,-1.1620489425119715,-0.5328585880285451,0.06348119283636913,0.3714390232858086,-0.009985730202031935,-0.5282415472901799,-0.895693678184664,-1.196348715853074,0.28450963653556033,Train
2M13273772-4725175,0.5512689746654318,-0.029677727375955074,1.474654435576543,-0.5456462475340446,0.0014096501291852813,0.4202450820459728,-0.0011425591087174287,-0.367840667073761,-0.000629445710481274,-0.011732468446023152,-0.45217976825414874,0.009316709401832293,0.008627627846203344,-0.2887027358682544,-0.009985730202031935,0.01410301871306225,1.3578205327578674,-0.0063306371436563525,-0.555727093307338,Train
2M19400069-3056093,-2.659970628513835,-0.013060545905769794,-1.376769946550345,0.45806034253673134,0.0014096501291852813,1.2321698434975468,-0.9711890110941667,0.08315574804570466,0.8232672333961767,-0.5440556664175603,0.9428275414702587,0.009316709401832293,0.4650044893486759,0.9947354058244208,1.427871558838758,0.01410301871306225,-1.2466019943962734,-0.0063306371436563525,1.6554279987520957,Train
